"placeID","latitude","longitude","the_geom_meter","name","address","city","state","country","fax","zip","alcohol","smoking_area","dress_code","accessibility","price","url","Rambience","franchise","area","other_services"
134999,18.915421,-99.184871,"0101000020957F000088568DE356715AC138C0A525FC464A41","Kiku Cuernavaca","Revolucion","Cuernavaca","Morelos","Mexico","?","?","No_Alcohol_Served","none","informal","no_accessibility","medium","kikucuernavaca.com.mx","familiar","f","closed","none"
132825,22.1473922,-100.983092,"0101000020957F00001AD016568C4858C1243261274BA54B41","puesto de tacos","esquina santos degollado y leon guzman","s.l.p.","s.l.p.","mexico","?","78280","No_Alcohol_Served","none","informal","completely","low","?","familiar","f","open","none"
135106,22.1497088,-100.9760928,"0101000020957F0000649D6F21634858C119AE9BF528A34B41","El Rincï¿½n de San Francisco","Universidad 169","San Luis Potosi","San Luis Potosi","Mexico","?","78000","Wine-Beer","only at bar","informal","partially","medium","?","familiar","f","open","none"
132667,23.7526973,-99.1633594,"0101000020957F00005D67BCDDED8157C1222A2DC8D84D4941","little pizza Emilio Portes Gil","calle emilio portes gil","victoria ","tamaulipas","?","?","?","No_Alcohol_Served","none","informal","completely","low","?","familiar","t","closed","none"
132613,23.7529035,-99.165076,"0101000020957F00008EBA2D06DC8157C194E03B7B504E4941","carnitas_mata","lic. Emilio portes gil","victoria","Tamaulipas","Mexico","?","?","No_Alcohol_Served","permitted","informal","completely","medium","?","familiar","t","closed","none"
135040,22.135617,-100.969709,"0101000020957F00001B552189B84A58C15A2AAEFD2CA24B41","Restaurant los Compadres","Camino a Simon Diaz 155 Centro","San Luis Potosi","SLP","Mexico","?","74000","Wine-Beer","none","informal","no_accessibility","high","?","familiar","f","closed","none"
132732,23.7543569,-99.171288,"0101000020957F00008A20E615808157C16272FECBF84F4941","Taqueria EL amigo ","Calle Mezquite Fracc Framboyanes","Cd Victoria","Tamaulipas","Mexico","?","87018","No_Alcohol_Served","none","casual","completely","low","?","familiar","f","open","none"
132875,22.1499013,-100.9937793,"0101000020957F00008A2A0747DE4758C11EB31D2A31A84B41","shi ro ie","?","?","?","?","?","?","Wine-Beer","section","informal","no_accessibility","high","?","familiar","t","open","Internet"
132609,23.7602683,-99.1658646,"0101000020957F0000A478418BBA8057C133851EB22C4E4941","Pollo_Frito_Buenos_Aires","tampico","victoria","Tamaulipas","Mexico","?","?","No_Alcohol_Served","not permitted","informal","completely","low","?","quiet","t","closed","none"
135082,22.151448,-100.915099,"0101000020957F0000A29FAF95CD4958C1FEEEBB73A9914B41","la Estrella de Dimas","Villa de Pozos 192 Villa de Pozos","San Luis Potosi","SLP","Mexico","?","78421","No_Alcohol_Served","none","informal","no_accessibility","medium","?","familiar","f","closed","none"
